sample_id,session_id,ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v
25,3,2018-03-26T18:06:33.719Z,1003.0,17.0,,90.0,18.0,7.13,83.5,,,,,
26,3,2018-03-26T18:06:34.079Z,1003.0,17.0,,90.0,18.0,7.13,83.5,,,,,
27,3,2018-03-26T18:06:35.009Z,1051.0,18.0,,90.0,14.0,8.58,83.5,,,,,
28,3,2018-03-26T18:06:36.059Z,1126.0,19.0,,90.0,15.0,9.02,83.5,,,,,
29,3,2018-03-26T18:06:37.079Z,1196.0,21.0,,90.0,16.0,9.97,83.5,,,,,
30,3,2018-03-26T18:06:38.039Z,1190.0,20.0,,90.0,17.0,10.66,83.5,,,,,
31,3,2018-03-26T18:06:39.059Z,1250.0,21.0,,90.0,18.0,8.97,83.5,,,,,
32,3,2018-03-26T18:06:40.079Z,1339.0,23.0,,90.0,17.0,10.52,83.5,,,,,
33,3,2018-03-26T18:06:41.009Z,1420.0,24.0,,90.0,19.0,11.22,83.5,,,,,
34,3,2018-03-26T18:06:42.029Z,1502.0,26.0,,90.0,19.0,13.13,83.5,,,,,
35,3,2018-03-26T18:06:43.050Z,1516.0,26.0,,90.0,19.0,13.66,83.5,,,,,
36,3,2018-03-26T18:06:44.040Z,1482.0,25.0,,90.0,20.0,25.8,83.5,,,,,
37,3,2018-03-26T18:06:45.090Z,1495.0,26.0,,90.0,21.0,13.19,83.5,,,,,
38,3,2018-03-26T18:06:46.050Z,1535.0,26.0,,90.0,19.0,12.27,83.5,,,,,
39,3,2018-03-26T18:06:47.069Z,1509.0,26.0,,90.0,18.0,12.66,83.5,,,,,
40,3,2018-03-26T18:06:48.059Z,1508.0,26.0,,90.0,19.0,13.27,83.5,,,,,
41,3,2018-03-26T18:06:49.019Z,1516.0,26.0,,89.0,19.0,13.05,83.5,,,,,
42,3,2018-03-26T18:06:50.069Z,884.0,25.0,,89.0,18.0,24.08,83.5,,,,,
43,3,2018-03-26T18:06:51.090Z,884.0,13.0,,89.0,20.0,7.86,83.5,,,,,
44,3,2018-03-26T18:06:52.050Z,889.0,8.0,,89.0,14.0,8.33,83.5,,,,,
45,3,2018-03-26T18:06:53.069Z,892.0,6.0,,89.0,14.0,7.8,83.5,,,,,
46,3,2018-03-26T18:06:54.030Z,897.0,5.0,,89.0,14.0,7.97,83.5,,,,,
47,3,2018-03-26T18:06:55.079Z,914.0,5.0,,89.0,14.0,8.36,83.5,,,,,
48,3,2018-03-26T18:06:56.040Z,864.0,8.0,,89.0,14.0,9.69,83.5,,,,,
49,3,2018-03-26T18:06:57.029Z,1006.0,9.0,,89.0,16.0,7.69,83.5,,,,,
50,3,2018-03-26T18:06:58.079Z,902.0,9.0,,89.0,15.0,8.24,83.5,,,,,
51,3,2018-03-26T18:06:59.040Z,900.0,8.0,,89.0,15.0,8.08,83.5,,,,,
52,3,2018-03-26T18:07:00.059Z,900.0,7.0,,89.0,15.0,8.02,83.5,,,,,
53,3,2018-03-26T18:07:01.079Z,900.0,5.0,,89.0,15.0,7.97,83.5,,,,,
54,3,2018-03-26T18:07:02.040Z,900.0,4.0,,89.0,15.0,7.91,83.5,,,,,
55,3,2018-03-26T18:07:03.029Z,770.0,2.0,,89.0,15.0,7.47,83.5,,,,,
56,3,2018-03-26T18:07:04.079Z,768.0,1.0,,89.0,14.0,6.83,83.5,,,,,
57,3,2018-03-26T18:07:05.069Z,885.0,2.0,,89.0,15.0,7.41,83.5,,,,,
58,3,2018-03-26T18:07:06.060Z,882.0,7.0,,89.0,16.0,8.27,83.5,,,,,
59,3,2018-03-26T18:07:07.049Z,882.0,7.0,,89.0,16.0,15.52,83.5,,,,,
60,3,2018-03-26T18:07:08.100Z,1178.0,13.0,,89.0,22.0,15.97,64.3,,,,,
61,3,2018-03-26T18:07:09.000Z,906.0,13.0,,89.0,15.0,15.97,64.3,,,,,
62,3,2018-03-26T18:07:10.050Z,906.0,13.0,,89.0,15.0,8.22,83.5,,,,,
63,3,2018-03-26T18:07:11.100Z,920.0,13.0,,89.0,16.0,8.02,83.5,,,,,
64,3,2018-03-26T18:07:12.000Z,904.0,10.0,,89.0,16.0,7.97,83.5,,,,,
65,3,2018-03-26T18:07:13.049Z,900.0,10.0,,89.0,16.0,7.97,83.5,,,,,
66,3,2018-03-26T18:07:14.099Z,900.0,5.0,,89.0,16.0,7.97,83.5,,,,,
67,3,2018-03-26T18:07:15.149Z,840.0,3.0,,89.0,16.0,7.11,83.5,,,,,
68,3,2018-03-26T18:07:16.049Z,912.0,3.0,,89.0,16.0,7.11,83.5,,,,,
69,3,2018-03-26T18:07:17.039Z,912.0,4.0,,89.0,15.0,8.49,83.5,,,,,
70,3,2018-03-26T18:07:18.029Z,1017.0,9.0,,89.0,17.0,11.44,83.5,,,,,
71,3,2018-03-26T18:07:19.139Z,1750.0,16.0,,89.0,23.0,11.44,83.5,,,,,
72,3,2018-03-26T18:07:20.039Z,1750.0,16.0,,89.0,23.0,14.11,83.5,,,,,
73,3,2018-03-26T18:07:21.030Z,982.0,17.0,,89.0,18.0,9.91,83.5,,,,,
74,3,2018-03-26T18:07:22.019Z,1189.0,20.0,,89.0,20.0,11.41,83.5,,,,,
75,3,2018-03-26T18:07:23.069Z,1180.0,20.0,,89.0,19.0,10.38,83.5,,,,,
76,3,2018-03-26T18:07:24.030Z,1153.0,20.0,,89.0,19.0,10.13,83.5,,,,,
77,3,2018-03-26T18:07:25.018Z,1149.0,20.0,,89.0,19.0,10.19,83.5,,,,,
78,3,2018-03-26T18:07:26.069Z,1044.0,18.0,,89.0,19.0,9.44,83.5,,,,,
79,3,2018-03-26T18:07:27.089Z,987.0,17.0,,89.0,22.0,15.47,83.5,,,,,
80,3,2018-03-26T18:07:28.018Z,928.0,16.0,,89.0,21.0,14.61,83.5,,,,,
81,3,2018-03-26T18:07:29.039Z,900.0,15.0,,89.0,21.0,7.86,83.5,,,,,
82,3,2018-03-26T18:07:30.059Z,893.0,15.0,,89.0,15.0,8.13,83.5,,,,,
